ibutton,date.time,ibutton.temp,site,fish_depth,dissolved.oxygen,date
17,2021-07-29T02:55:00Z,16.76,blue.ruin,0.529813250333481,3.35565301750273,2021-07-29
18,2021-07-29T02:55:00Z,14.685,norwood,0.823009446693657,2.40140710751237,2021-07-29
23,2021-07-29T02:55:00Z,14.438,blue.ruin,0.762116496220542,2.88259913496908,2021-07-29
30,2021-07-29T02:55:00Z,14.417,blue.ruin,0.764217429968875,2.87832086988156,2021-07-29
31,2021-07-29T02:55:00Z,14.548,blue.ruin,0.751111605157848,2.90500909495129,2021-07-29
6,2021-07-29T03:00:00Z,14.5,norwood,0.836479677527712,2.33707101668346,2021-07-29
11,2021-07-29T03:00:00Z,15.35,blue.ruin,0.672357363998231,3.06557355956737,2021-07-29
13,2021-07-29T03:00:00Z,15.919,norwood,0.717316090023514,3.50110066062031,2021-07-29
14,2021-07-29T03:00:00Z,15.318,norwood,0.767786362109506,3.00809021946031,2021-07-29
21,2021-07-29T03:00:00Z,16.216,blue.ruin,0.586178681999115,3.24733223432914,2021-07-29
22,2021-07-29T03:00:00Z,14.298,blue.ruin,0.777045555064131,2.84477664750111,2021-07-29
5,2021-07-29T03:05:00Z,14.125,blue.ruin,0.792965653896962,2.80691005163925,2021-07-29
7,2021-07-29T03:05:00Z,14.205,blue.ruin,0.78503963011889,2.82391497538129,2021-07-29
8,2021-07-29T03:05:00Z,15.532,blue.ruin,0.653566710700132,3.10598414795244,2021-07-29
10,2021-07-29T03:05:00Z,12.414,blue.ruin,1.00478260869565,2.52272826086957,2021-07-29
15,2021-07-29T03:05:00Z,12.71,blue.ruin,0.933157199471598,2.50613546295184,2021-07-29
16,2021-07-29T03:05:00Z,13.776,norwood,0.996125461254613,2.01337638376384,2021-07-29
17,2021-07-29T03:05:00Z,16.322,blue.ruin,0.575297225891678,3.27390776990513,2021-07-29
23,2021-07-29T03:05:00Z,14.626,blue.ruin,0.74332892998679,2.9134033865738,2021-07-29
30,2021-07-29T03:05:00Z,13.915,blue.ruin,0.813771466314399,2.76227212681638,2021-07-29
6,2021-07-29T03:10:00Z,14.562,norwood,0.819677102114407,2.37138807845708,2021-07-29
11,2021-07-29T03:10:00Z,16.101,blue.ruin,0.595742552245442,3.10630967298597,2021-07-29
14,2021-07-29T03:10:00Z,15.255,norwood,0.762883133912473,2.93213385783751,2021-07-29
18,2021-07-29T03:10:00Z,14.685,norwood,0.8095967874119,2.47091438561984,2021-07-29
22,2021-07-29T03:10:00Z,14.424,blue.ruin,0.763517118719431,2.78601277335381,2021-07-29
